samplename	Run       	layout
SRX2053345	SRR4064359	PE
SRX2053344	SRR4064358	PE
SRX2053341	SRR4064355	PE
SRX2053340	SRR4064354	PE
SRX2053339	SRR4064353	PE
SRX2053338	SRR4064352	PE
SRX2009807	SRR4015205	SE
SRX2009805	SRR4015203	SE
SRX1838081	SRR3659025	PE
SRX1637588	SRR3231882	PE
SRX1637587	SRR3231881	PE
SRX1637586	SRR3231880	PE
SRX1637584	SRR3231878	PE
SRX1637583	SRR3231877	PE
SRX1637582	SRR3231876	PE
SRX1637581	SRR3231875	PE
SRX1637580	SRR3231874	PE
SRX1457998	SRR2968563	SE
SRX1457997	SRR2968562	SE
SRX1457996	SRR2968561	SE
SRX1457995	SRR2968560	SE
SRX1457994	SRR2968559	SE
SRX1457993	SRR2968558	SE
SRX1457992	SRR2968557	SE
SRX1457991	SRR2968556	SE
SRX1457990	SRR2968555	SE
SRX1457989	SRR2968554	SE
SRX1457988	SRR2968553	SE
SRX1457987	SRR2968552	SE
SRX1457986	SRR2968551	SE
SRX1457985	SRR2968550	SE
SRX1457984	SRR2968549	SE
SRX1457983	SRR2968548	SE
SRX1388466	SRR2857310	SE
SRX1388466	SRR2857311	SE
SRX1388465	SRR2857308	SE
SRX1388465	SRR2857309	SE
SRX1388464	SRR2857305	SE
SRX1388464	SRR2857306	SE
SRX1388463	SRR2857286	SE
SRX1388463	SRR2857287	SE
SRX1387030	SRR2857284	SE
SRX1387030	SRR2857285	SE
SRX1386954	SRR2857281	SE
SRX1386954	SRR2857282	SE
SRX1204208	SRR2297216	PE
SRX1204207	SRR2297215	PE
SRX1204206	SRR2297214	PE
SRX1204205	SRR2297213	PE
SRX1204204	SRR2297212	PE
SRX1204203	SRR2297211	PE
SRX1204202	SRR2297210	PE
SRX1204201	SRR2297209	PE
SRX1204200	SRR2297208	PE
SRX1204199	SRR2297207	PE
SRX1204198	SRR2297206	PE
SRX1204197	SRR2297205	PE
SRX1204196	SRR2297204	PE
SRX1204195	SRR2297203	PE
SRX1204194	SRR2297202	PE
SRX1204193	SRR2297201	PE
SRX1006695	SRR1991997	SE
SRX1006667	SRR1991973	SE
SRX1006667	SRR1992292	SE
SRX672136 	SRR1539201	SE
SRX672136 	SRR1539202	SE
SRX672135 	SRR1539199	SE
SRX672135 	SRR1539200	SE
SRX672134 	SRR1539197	SE
SRX672134 	SRR1539198	SE
SRX672133 	SRR1539195	SE
SRX672133 	SRR1539196	SE
SRX672132 	SRR1539193	SE
SRX672132 	SRR1539194	SE
SRX672131 	SRR1539192	SE
SRX313715 	SRR919327 	PE
SRX313715 	SRR919328 	PE
SRX313714 	SRR919325 	PE
SRX313714 	SRR919326 	PE
SRX313713 	SRR919324 	PE
SRX2512366	SRR5196708	PE
SRX3222461	SRR6107462	PE
SRX3222461	SRR6107463	PE
SRX3222461	SRR6107464	PE
SRX3222460	SRR6107457	PE
SRX3222460	SRR6107459	PE
SRX3222460	SRR6107460	PE
SRX3222459	SRR6107453	PE
SRX3222459	SRR6107454	PE
SRX3222459	SRR6107455	PE
SRX3222459	SRR6107456	PE
SRX3222458	SRR6107449	PE
SRX3222458	SRR6107450	PE
SRX3222458	SRR6107451	PE
SRX3222458	SRR6107452	PE
SRX3222457	SRR6107445	PE
SRX3222457	SRR6107446	PE
SRX3222457	SRR6107447	PE
SRX3222457	SRR6107448	PE
SRX3222456	SRR6107441	PE
SRX3222456	SRR6107442	PE
SRX3222456	SRR6107443	PE
SRX3222456	SRR6107444	PE
SRX3222455	SRR6107437	PE
SRX3222455	SRR6107438	PE
SRX3222455	SRR6107439	PE
SRX3222455	SRR6107440	PE
SRX3222454	SRR6107434	PE
SRX3222454	SRR6107435	PE
SRX3222454	SRR6107436	PE
SRX3222453	SRR6107429	PE
SRX3222453	SRR6107430	PE
SRX3222453	SRR6107431	PE
SRX3222453	SRR6107432	PE
SRX3222452	SRR6107425	PE
SRX3222452	SRR6107426	PE
SRX3222452	SRR6107427	PE
